timestamp,status,response_code,response_time_ms,redirect_url,notes
2026-02-11T05:33:25.416593,ONLINE,200,127.9,,[baidu] OK
2026-02-11T05:34:25.547157,ONLINE,200,136.7,,[baidu] OK
2026-02-11T10:29:17.087909,ONLINE,200,141.8,,[baidu] OK
2026-02-11T10:30:17.245098,ONLINE,200,126.4,,[baidu] OK
2026-02-11T10:31:17.375071,ONLINE,200,111.9,,[baidu] OK
2026-02-11T10:32:17.497675,ONLINE,200,130.9,,[baidu] OK
2026-02-11T10:33:17.635106,ONLINE,200,114.9,,[baidu] OK
2026-02-11T10:34:17.765826,ONLINE,200,150.3,,[baidu] OK
2026-02-11T10:35:17.921819,ONLINE,200,124.8,,[baidu] OK
2026-02-11T10:36:18.054166,ONLINE,200,129.2,,[baidu] OK
2026-02-11T10:37:18.185059,ONLINE,200,136.1,,[baidu] OK
2026-02-11T10:38:18.323483,ONLINE,200,132.2,,[baidu] OK
2026-02-11T10:39:18.458500,ONLINE,200,106.3,,[baidu] OK
2026-02-11T10:40:18.575650,ONLINE,200,152.7,,[baidu] OK
2026-02-11T10:41:18.733803,ONLINE,200,118.7,,[baidu] OK
2026-02-11T10:42:18.864858,ONLINE,200,125.6,,[baidu] OK
2026-02-11T10:43:19.001233,ONLINE,200,131.3,,[baidu] OK
2026-02-11T10:44:19.143487,ONLINE,200,134.4,,[baidu] OK
2026-02-11T10:45:19.279484,ONLINE,200,113.8,,[baidu] OK
2026-02-11T10:46:19.406994,ONLINE,200,128.8,,[baidu] OK
2026-02-11T10:47:19.547141,ONLINE,200,130.6,,[baidu] OK
2026-02-11T10:48:19.683142,ONLINE,200,124.1,,[baidu] OK
2026-02-11T10:49:19.811404,ONLINE,200,124.9,,[baidu] OK
2026-02-11T10:50:19.945324,ONLINE,200,148.2,,[baidu] OK
2026-02-11T10:51:20.098555,ONLINE,200,130.0,,[baidu] OK
2026-02-11T10:52:20.232631,ONLINE,200,174.3,,[baidu] OK
2026-02-11T10:53:20.415954,ONLINE,200,184.8,,[baidu] OK
2026-02-11T10:54:20.603453,ONLINE,200,116.4,,[baidu] OK
2026-02-11T10:55:20.724563,ONLINE,200,129.5,,[baidu] OK
2026-02-11T10:56:20.867935,ONLINE,200,129.0,,[baidu] OK
2026-02-11T10:57:21.011156,ONLINE,200,132.7,,[baidu] OK
2026-02-11T10:58:21.155132,ONLINE,200,129.8,,[baidu] OK
2026-02-11T10:59:21.287469,ONLINE,200,136.8,,[baidu] OK
2026-02-11T11:00:21.431316,ONLINE,200,115.3,,[baidu] OK
2026-02-11T11:01:21.557439,ONLINE,200,128.9,,[baidu] OK
2026-02-11T11:02:21.696904,ONLINE,200,135.6,,[baidu] OK
2026-02-11T11:03:21.834985,ONLINE,200,142.4,,[baidu] OK
2026-02-11T11:04:21.979541,ONLINE,200,118.8,,[baidu] OK
2026-02-11T11:05:22.109272,ONLINE,200,130.2,,[baidu] OK
2026-02-11T11:06:22.253701,ONLINE,200,123.5,,[baidu] OK
2026-02-11T11:07:22.381414,ONLINE,200,126.1,,[baidu] OK
2026-02-11T11:08:22.514981,ONLINE,200,127.4,,[baidu] OK
2026-02-11T11:09:22.651717,ONLINE,200,145.5,,[baidu] OK
2026-02-11T11:10:22.799272,ONLINE,200,145.1,,[baidu] OK
2026-02-11T11:11:22.946949,ONLINE,200,126.5,,[baidu] OK
2026-02-11T11:12:23.080617,ONLINE,200,143.8,,[baidu] OK
2026-02-11T11:13:23.228652,ONLINE,200,123.6,,[baidu] OK
2026-02-11T11:14:23.361010,ONLINE,200,121.5,,[baidu] OK
2026-02-11T11:15:23.484483,ONLINE,200,122.8,,[baidu] OK
2026-02-11T11:16:23.612296,ONLINE,200,122.2,,[baidu] OK
2026-02-11T11:17:23.737551,ONLINE,200,119.5,,[baidu] OK
2026-02-11T11:18:23.860224,ONLINE,200,127.7,,[baidu] OK
2026-02-11T11:19:23.998424,ONLINE,200,116.2,,[baidu] OK
2026-02-11T11:20:24.124884,ONLINE,200,142.9,,[baidu] OK
